Rating,Year,Month,Title,Body
5,2016,1,Elegantly design and service hotel,"Had a chance to stay at hotel Amarni for 2 nights on the last days of January. One of a few hotel I was eager to try both for the renown designer and reviews. First of all very impressed with both the services the room. The door-less interior design was pleasure to look at even though it needs a little swing to close it fully, and also iPad controlled multi functions were advanced. The hotel lobby services and greets in unison every single time you walk passed. Morning comes, the breakfast choices were alright. But, unfortunately, the services was not as attentive as I had expected. Waited 20 for my coffee, I would blame that on the insufficient staff at the breakfast cafeteria. Otherwise, food's great. Then two days flashes passed. After getting some last minute…"
4,2016,2,Very Armani great service,The staff here are very helpful and it makes difference to be greeted by friendly service. I loved the lounge at the Lobby level on the 7th floor it was just so relaxing and peaceful. I did find it slightly irritating to have to take 2 lifts to get into our room as you need to go to the lobby on the 7th floor then take another lift to your room. In our case on the 5th. The rooms are very typical of Armani style pared down neutral colours. I didn't like the panel division in our room which made the whole space appear and feel much smaller. Everything is high tech operated by sleek iPads which is fun but again annoying a receptive basis. I hated all the gadget switches as at night they had all the marker light they not making the room absolutely dark which is what I like. I also…
5,2016,1,Elegant and contemporary,"I recently stayed at the Armani Hotel on business and felt already very special from the moment I walked in through the descrete entrance on the ground floor. After checking in, my Lifestyle Manager escorted me to my deluxe room and showed me how to personalise it from my fingertips with the room's ipad.  Just before dinner I pampered myself in the lavish, all-glass spa on the eight floor where the big jacuzzi and the single use saunas and steam baths guarantee privacy and intimacy with a top view of the city. Once in the bar, I was amazed by the elegant decor, the top notch furniture and the healthy food and drinks selection. The day after started with a workout overlooking Milan's rooftops. Following an intimate breakfast and a full morning of meetings, the fish ragù…"
5,2015,12,Coziest place to stay,"Stayed in Armani Milano hotel over Christmas. The hotel was absolutely amazing. Style, elegance, comfort, warmth. You really feel very private there, quiet comfort rooms, high level design, everything was fitting my needs. Absolutely friendly and helpful staff"
5,2016,1,Always reliable,"The Armani Hotel is always reliable for a very nice stay. It has a great location for walking around, the room n. 401 very comfortable especially because we didn't have any outside noise coming in so that was definitely a plus. We enjoyed the restaurant: the food offerings were really good and I complement the staff on keeping everything orderly and clean. The SPA is the cherry on the cake. The view is phenomenal and the staff very attentive and superb. Overall our stay was really wonderful. I'll definitely be back."
5,2016,1,Business Trip in Milan,"Armani Hotel Milano, has always been my preferred hotel of choice while visiting Milan, the location is excellent with alot of great shopping nearby, hotel rooms and facilities are great, armani restaurant and food quality is also well done."
5,2016,1,"Great standards, great location","A beautiful, high standard, posh hotel. Polite services, you can see that staff is making every effort. Great location. A bit lifeless, and doesn’t have the locals’ buzz like Bulgari. One of only four options for the top notch international traveler in Milano: Four Seasons, Bulgari, Mandarin Oriental and of course Armani."
5,2016,1,I didn't want to leave,"A wonderful experience; throughout the hotel the attention to detail of Mr Armani is apparent and all the better for it. The staff were pleasant, discreet and respectful. I found them very helpful regarding restaurant and sightseeing recommendations. The room was lovely. Beautiful Armani Casa furnishings which were carefully matched with bedding, curtains and blinds to create the inimitable Armani look which relies on subtle, tonal interplays. The bathroom was superb. The best I have ever experienced; separate rain shower, double sinks, bath, private area, underfloor heating and lots of room. Thoughtful lighting throughout. Armani shower gel scented with armani Prive Bois d'encens....mmmmm. And the location; near Via Montenapoleone for shopping and 5 minutes walk to the…"
5,2015,11,The only hotel to stay in Milan.,"I'm lucky to have travelled and stayed at so many luxury hotels and the Armani Hotel sets a new benchmark to refined hospitality. Mr.Armani has spared no attention to detail. From the moment you walked into the ground hallway to the ""As"" stamped on each individual sugar cube, everything has the Armani signature on it. The decor is what you'd expect from Giorgio Armani, a very distinct yet modern feel to luxury. If you like what he does with clothes and home furnishings, you will like it here. ( Speaking of which, you can purchase any of the Armani furniture you see at the hotel ..if you so desire.) In some areas especially the lift and the corridors outside the hotel rooms, it really feels like being in a luxurious space ship. The rooms are AMAZING : 1. Each room has an…"
5,2016,1,Experiencia excelente,"Excellent experience at the Armani Hotel Milan. Amazing design and warm atmosphere. Elegant and nice bar to hang out, with panoramic view over the city. Every detail is taken care of. Impeccable service. Definitely a place one must have been."
5,2015,8,Excellent and minimalist,Stayed here for one night for business. Very cool and enjoyable stay. I thought there was a pool but actually what was in the picture was a large jacuzzi pool. The room was well equipped and everything was controlled by a tablet including the lights! Took a while to figure out even for a tech guy. Everything is very minimalist and drawers and cupboards were well hidden.
5,2015,12,Hotel Armani Milano: Top location for event and dinner,"There is nothing I like more, after a busy day than relaxing with an aperitif or a dinner and, one my favourite place in my city, is the Armani Hotel Milano. Last December I decided to organize for some friends the 2015 Christmas Cocktail there and it really was an amazing and positive experience. The glamorous Armani style permeated everything. The warm welcome, the kindness of the staff, and the quality of the food & beverages – this was just few days before the restaurant won its first Michelin star. Everything was perfect; my guests and I really enjoyed that evening and the special atmosphere made us feel like we were in a James Bond movie. Armani Hotel is definitely in my top hotspot list! Fennek Milano"
5,2015,7,Fantastic place strategic location,"I will never forget this place as it was best ever in Milan, everything awesome in terms of location, services. I will visit them defiantly as soon as possible. In the area where you don't need even car. Duomo around markets under hotel only. I love you Armani"
4,2016,1,Excellent location and views,"The hotel is super modern and sleek. The staff is very kind and knowledgable. The hotel staff is also very welcoming, and the spa was great with excellent views. The location is amazing walking distance to best shopping in Milan as well as a few minutes from the centre and duomo of Milan. Next door in the same building you can eat at Nobu which was very good as well. Knocking off a star because it wasn't worth $900. Nice and really really modern but almost too modern. I think there are other hotels for half the price and just as or more luxurious in milan. You are really just paying for the name. The suite just gives you a very very small living area, but the bedroom and bath is the same."
5,2015,7,Favorite in Milan,"The best thing of this hotel is LOCATION, situated in the heart of Milan with walking distances to many places (most of them shopping, can you blame me? Its Milan!). The hotel is a true icon to Armani, elegant spaces and rooms. You are most likely to find someone famous there. The service is excellent, as well as the food, and if you are in the mood for japanese, the Nobu is next to the hotel. Being a true fan of Armani hotels, it does lack a little luxury in comparison to the one in Burj Khalifa, still it serves to be the best hotel to stay in Milan."
5,2015,12,An excellent stay,Many places have 5 stars banded on the outside of the building but this truly is 5 star quality. Extremely modern with impressive room features and stylish interior - my girlfriend and I did not want to leave.
5,2015,12,"Great Hotel, Great Staff","We have booked a 2 nights stay for New Year and the hotel was just amazing. Mr Francesco Liguori , the Lifestyle Manager was just a amazing person. He made sure that we have everything we need to make our stay incredible. On the last day we got sick and had to extend for a 1 night and Mr Francesco arranged immediately everything, including a late check out...until what time we want! All in all the experience of the hotel and the staff professionalism is at extraordinary levels!"
5,2015,10,Great experience in the middle of Milan,"It was a short 4 nights stay. We have a small suite with a window on the inside. The suite was in black style and every light and temperature is controlled via 2 ipads, one in the bed room and another one in the living room. Even the TV was connected. The reception is on the last floor next to the great bar and the breakfast room. Once you check in you go down to the rooms. It takes some time to get used to it. Most of the staff are non italians, Breakfast is very good with a view on Milano. The room is very comfortable, and most important very cozy. The hotel is very centrally located, 10 minutes walk from the large cathedral."
3,2015,12,Modern design but lack 5 star qualities,"The good: modern design, room was large and clean. They moved us to a different room when we had issues with the first one. The bad: we waited 45 minutes for our car after check out despite paying 65 Euros per night for the hotel garage: this was exemplary of how everything seems to happen in the hotel. The personnel are friendly but nobody seems to have a clue what they are supposed to be doing, the hotel management must be completely incompetent. The buffet breakfast is 3 star quality. The first room we were given was cold no matter how high we raised the thermostat, and very noisy due to the windows not being insulated. When we complained we were given a different room which was much better."
5,2015,12,overview of hotel,"the hotel was situated in an excellent spot very close walking distance to all the amazing shops.The hotel was clean and the food quality great, the spa is nice but not outstanding with very little relaxations seats in the main area."
5,2015,11,Nice hotel,"Centrally located, close to restaurants and shopping district... Nice room, clean. Not as small as the other hotels in rome. Staff is helpful. The restaurants within the hotel are nice. Price is not cheap but is worth it if you want to enjoy. Everything is controlled by their ipad, easy to use. Tips for people who want to book this hotel: call them to make the reservation, it is cheaper than book it on their official website or booking it on expedia or booking and so on ( at least at the time when I booked it)."
4,2015,8,Too cool for school.,"A very contemporary modern building with minimalist overtones. Greeted by you g men in dark suits, to a separate lift to the reception area. Corridors are dark and seemless, door entrances are flush with the walls and in cared by a change in colour/ texture. Electronic card touched to a plate in the wall opens the door. The room IS wow. My expectation was met, although the overall feel was dark, but pools of light lit the room beautifully. Fantastic bedding , furniture and writing desk, but I felt slightly confined. The bathroom was a seamless marble terrazzo masterpiece, with huge glass doors to toilet and walk in shower. Armani toiletries provided, and of course bathrobes and slippers . the bath was a good size (I'm 6'2"") but I found myself in the shower more. The spa area…"
5,2015,12,My birthday,"I spend my birthday here last year and it was magical time . It's worth every penny . They have everything you need , I recommend it . Check there website. I recommend in normal days don't go there in events week it might be pricey . It's located in very luxury area."
5,2015,12,A WOW with some flaws,"This is a design hotel in its true sense of the meaning. I frankly admit that I absolutely love the style and the extreme attention gone into transferring the vision into reality. Its a 100% WOW. So if you like the theme and vibe you get from the website, you will not be disappointed. Breakfast is a real treat - and do not miss the gym/spa area. But, But, where ie the close by BVLGARI Hotel or Mandarin understands its all about the guests, again and again it was clear that the service level does not match the style of the ARMANI. Is it bad or rude? No, its just average, obviously with here and there I saw excellent service (Among best shoe shining job ever, Great doormen, sweet & kind cleaning staff). Being fair - I arrived to the ARMANI pretty much straight from an AMAN…"
5,2015,12,Amazing Hotel,"Perfect location, amazing atmosphere and service in hotel. I really like the interior of the hotel and the room - specialy the bathroom is very nice. All employees are very nice and always there for you. Definitely hope to come back soon."
4,2015,12,Fantastic hotel and location,"Its a real 5 stars hotels, impacable service, perfect location for shopping, walkimg distance to duomo, next to metro station. All people in the reception are well trained as concierges. I loved to be able to control curtains, lights, tv from the ipad. The turndown service very good too."
4,2015,5,"Very sophisticated, professional, but abit too ""cold""","We were on our last leg on our honeymoon after travelled Rome/ Florence / Sorento / Positano so on and so forth. We were looking forward for to this extremely branded hotel. it wowed us. The rooms are well appointed, very hi-tech with Ipad control. However, we felt that the service was very professional yet abit cold and not as welcoming for honeymooners like us. nonetheless, the lobby bar was excellent with excellent barmen. cheers."
5,2015,12,"Great location, superb service","The hotel is well situated among the shopping district. All the staff we encountered were very polite and proactive. The room is nice but I am used to a bigger desk, and more counter space in the bath room. I would also recommend supplying softer toilet and tissue paper. Also, there should be a box of tissue paper in the bedroom."
5,2015,11,armani hotel milano,"great- fantastic hotel. the room have everything what you need to relax and to sleep .Bathroom just perfect fore al you needs ,very luxury.- personal : perfect and friendly all the time. the restaurant absolute the top -spa unbelievable internet - tv working outstanding tv-internet a dream to work with."
5,2015,11,It can always be better,"Good quality of stay, very well located, the bar staff were very nice. Rooms actually O thought they could be extremely unique design but it was another 4* hotel with the name armani, def. Recomend the property for any type of stay."
5,2015,11,Simply magnificent!,"This is truly an exceptionally good hotel. We stayed in a dual-aspect room and loved everything about it: minimal yet sumptuous decor, high tech controls, spacious and perfectly appointed bathroom, great choice of amenities. Not being able to reach any rooms without changing lifts and going through the lobby added extra security. We truly could have not asked for more. The hotel staff were superb. The location perfect. It made for an excellent stay."
5,2015,11,Armani Hotel Milano!! Thank you.....,"Last week tuesday I celebrated my last evening in Milano at the Armani hotel with my little sisters. We really had a great time, the atmosphere was just perfect. We where siting in front of the lounge bar. There was one bartender who made our evening more special his name is Gabriel. He must be the best bartender that i have ever met. He was very friendly and polite to us. Thank you Gabriel for making our first experience with Armani hotel a good one!!!! And the rest of the stuff, thank you as well."
5,2015,11,unique design,"The hotel is beautiful and in a perfect location, The staff were friendly and helpful,Corridors were depressing and v dark, we felt like we're in a prison.We stayed 5 nights in an ambassador suite, high-tech large rooms, nice view, huge marble bathrooms, and excellent breakfast"
5,2015,11,Fantastic Experience,"Went for a long weekend 13th November to 16th great hotel loved every minute. Executive suite attention to detail amazing. Great service all round couldn't fault it. Great location staff fabulous, great for shopping and restaurants. Highly recommend it😄😄😄."
5,2015,11,Top hotel well situated,"We booked a standard room but it seemed more like a high end suite. All personnel very friendly, you really feel at ease. Gym and wellness (no swimmingpool but more like a big jaccuzzi) really beautifull with fantastic views. We had dinner one evening in the bar, very tasty. Breakfast : everything you could whish for and a fantastic view on the city. I can only recommend this hotel , you will feel pampered."
5,2015,11,I have arrived!,"I can't say enough about this hotel. The clean lines, and impeccably decor has you instantly feeling as if you have arrived to a special place. The rooms are elegant, with heated floor and towel racks, a VERY large bath, and a bed that give you the ""hug"" you need after a long day in Milan. We stayed on the 6th floor. They offered us an upgrade to a suite but found the balcony on the 6th floor worth the smaller room. The lights and television are all programmed by iPad. The mini-bar in the room is all complimentary and there is so much space for all of the new treats you will likely purchase here. The staff are so attentive and speak good English. The bar is gorgeous and the bartenders really take care in making each one of their extensive list of creative, specialty…"
4,2015,11,Very good hotel,"Very good hotel, nicely located, with very good staff very well dressed and nice aroma around all the hotel, the food is fabulous, the rooms a bit tiny, with very nice decoration in the room and whole hotel"
5,2015,8,Milan Style Defined,"I stayed here for a couple of nights in the summer. This is a seriously classy hotel. I loved everything. Perfect location in the fashion district but also for the centro storico (for which I mean the Duomo and the Castello really....). This hotel makes an immediate impact. Very good doormen and reception staff, classic Armani fragrance the minute you walk through the door fills your senses, wonderful classic lines and clean architecture. The rooms are a little dark and on the smaller side but go with it. They are ultra modern but so quiet and private. Everything controlled with the IPad. They have the best slippers and toiletries. I'm gushing I know! Sorry. One minor negative is that I really dislike a hotel where reception is not on the ground floor and is an elevator ride…"
5,2015,10,Thank you,"Excellent hospitality. The hotels' location, the sevice and facilities are also excellent. During the visiting, I lost my wallet at somewhere. Fortunatly the wallet was found at another hotel. The armani hotel's team kindly treated everything about my lost wallet and arranged to ship it to Japan. Thank you very much !"
5,2015,11,Amazing customer service!,A special thank you to Silvia Armani hotels customer service manager and staff for helping to make my daughters birthday surprise special. The cake was lovely and she especially appreciate the gift you gave her. She sent me pictures and said the restorante is amazing. Good customer service goes a long way. Once again many thanks.
4,2015,11,"Very modern, good food, lots of large businessmen tables",Very good. The food is very good. Not gourmet gourmet but very good. Service was efficient. People were nice. The outer bar room was filled with younger people. There was a DJ. Each time we have been in the restaurant there have been large tables of businessmen. Tables well set apart.
5,2015,10,The best hotel in Milan!,"Armani, despite the other new hotels in Milan is the best. When I'm saying ""the best"" I'm saying all : accommodation, spa, fitness, bar, location, cleanliness, food, etc. It's a place where you have to go!"
5,2015,10,Coolest hotel ever!,"5 stars does not do this hotel justice. It is by far the coolest, most wonderful hotel I have ever visited. The people are all incredibly helpful and warm, and totally pampered me from the moment I arrived. The rooms are something else. Heated bathroom floors. Well-stocked minibar where everything is included. Even pull-out drawers for wine glasses! And everything controlled by the iPad-- TV, temperature, lights, curtains. Plus the location is absolutely perfect. A 2 minute walk to the Duomo. Best window shopping anywhere. Just wonderful! Can't wait to go back."
5,2015,10,Always a pleasure to stay in this hotel,Luxury and no stress. Everything is arranged well and the staff is great. In the room everything is clean and there is a nice mini bar filled up for you (for free).A nice bathroom with shower &bath en if you go to the spa you can relax in the private steam cabine or sauna. Futher there is a huge whirlpool where you can look @ the skyline from Milano. I hope staff will do all the possible to continue to give this service.
5,2015,10,Haven in Busy Milan!,"We went to Milan on the last day of Expo 2015. The city was very crowded and we had walked miles and came upon the Armani Hotel and went to their restaurant for lunch. What a serene, beautiful and sophisticated place to enjoy a beautiful view of the city and eat delicious food! Next time we are in Milan, we will stay at this hotel!"
5,2015,10,No Problems at All,"This is a hotel with a very limited number of rooms (95), and is very stylish. The rooms are cozy and everything is controlled by iPads. The staff is nice and attentive and will often remember your orders and preferences. The location is very good with lots of restaurants and shopping nearby. The bar is great and the food is excellent. It has nice gym facilities, and a pool. I would highly recommend this hotel if you want to be pampered."
5,2015,10,Great luxury and design in the heart of Milan,"You are in the heart of the shopping and fashion areas, walking distance to the Duomo and the Vitorio Emanuelle Gallery. Good eats all around. The hotel is very modern but holds a classy style. Great amenities in the room."
5,2015,10,Amazing end perfect,I will be back soon as possible we evriting was perfect The service is wander fell and the hotel is one of the best in the world The breakfast was just perfect end good good service we eat many and evriting was amazing
5,2015,9,Très Chic,It is a very modern well localized hotel near the main attractions of Milan. The guest service is very good and we can feel high tech in every space. I did not stay in a suite but I felt a lack of space for clothes and shoes.
5,2015,10,Excellence Hotel Experience,"I had a great time staying at Armani hotel. The interior design is unique and functional. And, the guest service is 10/10. I will try the spa next time if I go to milano again. Defiantly will recommend anyone who would enjoy their stay in milano."
5,2015,9,"""La Haute Couture"" of hotels!","I love hotels & I do a lot of hotels (not always time to comment them here) but this one (Armani Hotel Milano) is ""La crème de la crème"" From the check in to check out everything is perfect. You have to like the Armani style because everything you will see and do is made and created by the designe. Don't expect something else. The SPA is definitely one of the best spa experience I had ever!! Juste amaizing! (Breakfast and bar is not the best part. So not a must to do) If you go to Milano for the fashion part of the city and you love luxery hotels than is hotel Armani the place to be! I can't wait to come back"
5,2015,10,Amazing,"From the moment we walked in, to the day we left the service was impeccable. We arrived early. They tried there best to accommodate us. We got in so early that they were still serving breakfast. The attention to detail is phenomenal, and the food delicious. We left and discovered the city a bit. When we came back the room still wasn't ready yet. They asked us to sit in the bar while we waited and they would get us a nice coffee. They truly couldn't of done enough for us .The hotel is centrally located in the heart and pulse of Milan. If you like to walk everywhere, this is your hotel. It is sleek, very modern, so cool. Mr. Armani takes great pleasure and pride in this hotel. It shows through every detail down to the amenities in the room. While pricey, and chic, they truly…"
5,2015,10,Not leaving !,"This hotel is amazing , tall Mattaeo (concierge)told us about 2 restaurants both fabulous, reception staff (Valentina) terrific, Fabio breakfast he was great too. Whenever we go to Milano next we will stay here this was our second time but NOT our last.All the popular name shops are at your fingertips with all sending our shopping bags back to the hotel free of charge . Totally clean.best gym in Milan!"
5,2015,10,"""Just like home"".........Dan Menchions and Keith rushbrook","From the minute we stepped though the doors of the hotel, we knew we were going to have a wonderful stay. From the doormen to the concierge to the reception to the bell hop to the staff at every level. Our stay and experience at the hotel was beyond excellent. Unfortunately I arrived with a terrible cold and spent the first 3 days in the hotel. The hotel really felt like home. It was extremely comfortable and we made the best of it and loved every minute of are stay. Our suite was spectacular and every detail was beautifully executed. The entire room was automated. The ipads were easy to navigate. The restaurant, bar and lounge on the 7th floor were absolutely stunning and the staff and service were absolutely wonderful and delightful. The food in the restaurant and…"
5,2015,10,Superb,"We had a great time at the Armani Hotel Bar in Milano. They have Rum Zacapa! The waiter ""Pellegrino"" took great care of us. The service, the food and the drinks were excellent. Super chic! The perfect way to end a long day. We will definitely come back. Stop by for sure!"
5,2015,9,unparalleled design and quality,We had the pleasure to stay at some of the best hotels in Europe during our 3 weeks visit and Armani Milan was undoubtedly the best overall. The modern design exudes perfection. The detail in which every detail has been considered and the exquisite quality control for every piece of accessory was quite evident. Armani has set a new standard for the rest of the industry to aspire to.
5,2015,10,Excellent hotel experience,"The lady ""Emilio"" who served us with wonderful attitude. And, my wife and I had a great time staying there. We will defiantly stay at Armani Hotel again if we plan to travel milano, Italy again next time."
5,2015,9,Typical Armani,"Being a fan of Giorgio Armani products, and having stayed at the Armani Hotel in Dubai, this was an obvious choice when travelling to Milano. My wife & I stayed here in Sep 2015 for 2 nights, and it was a relaxing and very nice experience. Excellent interior design as would be expected, and the location in the fashion area is brilliant, with a short walk to the Duomo. We were given a free room upgrade which was pleasantly surprising, and have to say the staff were all exceptionally nice, much better than expected. The only fault was the plumbing, with the shower having an issue running constantly warm (hot then cold then hot), but this was really only a minor inconvenience to an otherwise amazing stay..."
5,2015,9,Best in Milano,"The Hotel is all about luxury and design, on the other hands you are in the Giorgio Armani Casa. I love the rooms and its design despite colors are not bright, but the biggest surprise was the service and the SPA at the top not easy to find an hotel in a city with wellness with a view. All in all a great stay enjoying the fashion capital Will be back"
4,2015,9,Pretty great hotel by the heart of the city,"I stayed in Milan for 2 nights before moving on to Zermatt and all hotels but Armani were booked since we arrived at the start of Fashion Week. Staff were pretty nice but the service was pretty slow to be honest. Breakfast was pretty good and had a pretty good variety of food. The features in the room were the highlight. There's a (sort of) hidden mini bar behind a wall and the snacks and drinks were free. There's also an iPad which you can control the room with (see who's at the door since there's a camera by the door, control the lights, control the TV, using the Internet on the TV and controlling it with the ipad). The rate was pretty expensive but it was our only choice. I would stay there again if it was an only choice."
5,2015,6,Perfection!,"As many noted, this hotel is an experience. We only stayed there one night, but it was a terrific experience. The room is minimal and gorgeous. We asked for a room in front of the San Francesco Church and they accommodated our request. The food and drinks were fantastic, as was the gym and breakfast. Truly a five star hotel."
5,2015,9,Fabulous place and even more fabulous staff!,"The Armani Hotel is such a treat in Milan- everything from the modern look and feel, to the food and the location. What was even better was the staff there- they are wonderful! Everyone went out of their way to make our stay more pleasant, especially Simona Cusenza! If you want a truly special experience in Milan we highly recommend the Armani!"
5,2015,8,Impressive Service! Bravo!,"Stayed here for two nights and had a great time. The hotel is hard to fault. The design is magnificent and the staff is very competent and friendly. They truly give you Italian hospitality at its finest. Every staff member was extremely polite and knowledgeable. Location is very convenient near all the high end boutiques and close to the Duomo and metro stop. The room is very luxuriously appointed as can be expected. Everything is well thought out and can be adjusted using the iPad in the room. The bed is very comfortable, bathroom is huge and the small touches like complimentary mini bar and Nespeesso coffee gives it a true 5 star touch. The spa area is very well designed and truly impressive. We had breakfast once in the hotel but whilst it is not cheap it offers high…"
5,2015,6,5 Stars to the core!,"A very different kind of 5 stars hotel, completely comfortable and luxurious. The rooms have a modern design with a small TV room, and are loaded with technology. My new favourite hotel in Milan. Wouldn't recommend the restaurants though, as there are plenty of better choices in the neighbourhood."
5,2015,8,Top notch service,"Very impressive stay at a beautiful hotel in the heart of Milan's shopping district. You can look at all of the photos to see the hotel is quite beautiful. In all honesty, the Armani furniture design is not my favourite, but I can appreciate it. What this hotel is AWESOME for is the check-in and concierge staff. They were incredibly helpful day after day. From helping my friend call the apple store, to installing my SIM card, to helping us plan all aspects of our trip (tourist visits, Milan expo, small local restaurants), etc. - they were SO helpful. And I didn't feel like I was getting ""canned"" concierge answers, their advise felt very local and real. I would the Armani hotel would have pretentious staff, but this is not the case. We interacted with 5 different staff…"
4,2015,8,Coolly sexy in the fashion district,"The Armani hotel is perfectly suited for its location - dead center in the middle of high-end shopping on Via Montenapoleone and an easy stroll to the Duomo cultural center. My husband and I initially stayed at another hotel around the corner, but on a walk-about, the doorman at the Armani was so charmingly inviting he managed to coax us upstairs to the Bamboo lounge to enjoy a cocktail. 20€ for a martini (ouch!) was outrageous, but it was wonderful. A tray of small tapas is served with your cocktail – gratis. Looking around at the other guests, it was obvious we were in a ‘designer’ hotel– women elegantly dressed with top-dollar shoes & purses, men in tailored suites and fine Italian leather loafers. We certainly weren’t dressed for the Armani as we were on a casual…"
5,2015,6,Not so shabby very chic,"First visit to Milan we chose the Armani hotel as we thought it would be synonymous with style and quality as the brand is recognised for. The hotel was first rate with great service and in a central position for theatres , shopping and culture. The Armani products provided during our stay were sublime and I wish I could buy the room spray , and candles to evoke the heady Armani Privee aroma at home. The style and elegance of the hotel was supported by the friendly ease of the staff always helpful and happy to oblige without any aloof attitude often experienced in high end boutique environments we recommend this hotel as great value although our room was a little small ."
4,2015,8,best in Milano,"If you are lucky to get a good rate witch is randonwho they provide the rates it's the best option in Milano, in decor, ambiance, location, service with exception of bathroom smell, the rest of the hotel smell fantastic, the bar is super and the gyn is also amazing"
4,2015,8,Very Good Hotel,very nice place to stay with spacious rooms and based in a nice location. It is a bit expensive but a big part of this you get back from the very nice rooms and amenities as well as the service received.
5,2015,8,luxury hotel,"i spent 3 days in this fabulous hotel with my family , a very luxury and nice hotel , the location excellent , the staff every where are friendly and speak a very good english , rooms are spacious and beautifully furnished , the concierge helpful ."
4,2015,8,Comfort found in industrial zen,"Excellent location, stylish decor, helpful & capable staff. Overall a wonderful stay! Although we didn't get the chance to try their restaurants, don't miss the delicious buffet breakfast & have a twilight cap or two before dinner at the lovely lounge."
3,2015,8,Can't say much...,"When we entered the hotel it was like entering in the world of armani. We stayed in the hotel for 3 nights..hotel is amazing interior wise service wise but there are a few things that were a problem firstly the spa was very nice when we entered but wen the treatment was actually done it did not meet my expectation and when I told my therapist she told me that I should get it done from a male therapist which I believe is very rude because in our country women do not get their therapies done from men. Secondly, now let's come to the rooms the bed was making a weird noise everytime while turning during sleep which was not so pleasent and noise from neighbouring rooms of d bell used to come into our room which was on the 5th floor..and lastly the shower in the bathroom wasn't…"
5,2015,8,Most incredible hotel in Milano! Outstanding service and incredible accommodations.,"The Armani Milan is a mix of the Italian elegance and Armani's iconic ""Modo di vivere"". The rooms are super well designed, the food is amazing at both nobu and the lounge and the spa offers a heaven for relaxation above the busy streets of Milano. I highly recommend it!"
5,2015,8,Excellent Hotel,First time to Milan Italy; first time staying in Armani. Nice design Hotel ; friendly staffs; good location. I enjoyed to stay in Armani Hotel. Unlimited drink in your own room. High tech remote for room equipments
1,2015,7,Worst travel experience.,"Booked a suite at the hotel for my honeymoon. Was pleasantly surprised with the iPad controlling the entire room, until it all broke down and went downhill from there. First night out in Milan, came back at 4AM to find everything not working from lights/TV/air conditioner. Called for assistance and the person did not even know what to do and said it was ""strange"" that this was happening until they did a complete reset at 4.30AM to get everything up and running. Next day same thing happened in the afternoon - spoke to the manager on duty and got moved to a bigger suite. Until the same thing happened again that same night while we were asleep and all the controls went off and I missed my flight the next morning as I was not able to open the safe and our passports were in there.…"
5,2015,8,Heaven on earth,"If heaven exists... I hope it looks like the spa of the Armani hotel... wonderful view, excellent service. I have no word for it. The rooms at the perfect, employees lovely. And this smell everywhere in the hotel... mmmm. All you can expect from that range of hotels. You cannot be disappointed."
5,2015,8,A wonderful escape,"We've just visited the Armani Spa on top of the hotel. We haven't slept in the hotel so my comment it's just about the Spa, but I think most of the considerations could be applied to the whole. Everything here is inspired by the ""less is more"" motto that Mr Armani applied to all his creations. Nothing it's out of place and all personnel is embarrassingly kind, helpful and friendly (I do not agree with someone who talked about false kindness). The Spa is fairly small, but this increases the sense of exclusivity and let you feel pampered and special during every minute of your stay. The drawback is that you can' expect all the features of a fully fledged spa, but you can have a steam bath, a Finnish sauna and a large and comfortable jacuzzi wtih a mesmerizing view over the skyline…"
1,2015,8,Expected more from Armani,"Very disappointed. I booked at this hotel because the room description was ""Kitchen with refrigerator, cookware/dishware and espresso maker"". We needed a kitchen; we got a small counter, with a minibar fridge and an expresso machine. No sink, no cooking utensils, nothing to use to heat the food. Not exactly a lie but certainly not the truth. I was naive enough to think that Armani would not exaggerate like this. Additionally, the lobby is on the 7th floor. To get to your room you need to take one elevator to the lobby and switch elevators to go to your room. Very annoying to have to take 2 elevators every time you go in our out of your room."
5,2015,8,"Classy, luxury Italian Hotel","We stayed one night ,at the end of our trip, and we loved it. The premises of the hotel are great. The breakfast, the staff, the room, bathroom, reception, the bar, the design.........I have no words to describe how much we loved everything. Mr. Armani should be proud: congratulations for classy, authentic Italian luxury Armani hotel!"
4,2015,8,Beautiful location but,One has to love armani's ambiance to be totally at ease in this perfectly located but a little gloomy all grey decor. Desk personnel and Doormen are very friendly and helpful. C minus for breakfast service and hostess. Restaurants were closed due to holidays so testing was not possible.
5,2015,6,Elegant Hotel at a reasonable price,It is one of the coolest and hippest hotel I have visited. It is situated at the shopping hub. The location is fabulous. I only paid 510 Euros for my room(prepaid). All furnishings and toiletries are by Armani. I happen to bring along a Armani jacket and the fabric looks almost like the bedspread :) The rooms at the lower floors can be noisy because of road traffic. So request a high floor if you want to be quiet.
4,2015,8,Nice hotel,"Good location, service, staff spacilly the front decks. Also I would like to thanks member of the front decks (Kledis Brahimi). The bad thing the rooms need refurbishing, and the jacuzzi was close for two day."
5,2015,8,Very trendy,"Very modern, luxurious and chic! The rooms are full of technology and style. I loved their amenities, very nice of them to have free on demand movies and complimentary minibar. I slept like a baby! You must try the bar as the cocktails are great and they do have a smoking lounge!"
